feature-1, feature-2, feature-3, class
119, 144, 129, 69, face
113, 141, 125, 52, face
116, 151, 138, 52, face
107, 132, 116, 63, face
100, 151, 119, 86, face
97, 144, 110, 57, face
103, 157, 125, 69, face
53, 192, 100, 57, face
50, 179, 97, 57, face
56, 179, 107, 57, face
75, 210, 125, 92, face
94, 147, 91, 69, face
94, 157, 103, 121, face
56, 192, 116, 98, face
47, 176, 103, 69, face
91, 147, 78, 110, face
110, 163, 78, 173, face
69, 141, 116, 81, face
47, 201, 129, 139, face
50, 201, 113, 150, face
110, 135, 97, 92, face
113, 147, 125, 127, face
113, 144, 100, 81, face
37, 217, 129, 144, face
31, 214, 116, 121, face
37, 214, 116, 104, face
100, 163, 85, 92, face
154, 100, 154, 86, face
154, 88, 135, 23, face
138, 119, 138, 46, face
154, 107, 141, 23, face
147, 113, 125, 34, face
138, 141, 125, 133, face
141, 132, 116, 86, face
147, 132, 122, 81, face
157, 113, 125, 115, face
113, 141, 88, 69, face
110, 154, 110, 75, face
110, 144, 110, 57, face
107, 147, 125, 34, face
107, 138, 147, 69, face
107, 144, 132, 40, face
100, 132, 122, 127, face
103, 135, 144, 133, face
88, 179, 110, 168, face
107, 176, 135, 197, face
107, 179, 116, 197, face
91, 166, 94, 139, face
100, 154, 125, 69, face
116, 173, 144, 144, face
88, 170, 113, 98, face
97, 182, 129, 144, face
138, 122, 62, 17, face
138, 100, 75, 28, face
141, 113, 78, 40, face
129, 116, 62, 11, face
144, 81, 56, 23, face
129, 81, 78, 57, face
144, 170, 173, 92, face
163, 170, 129, 23, face
147, 154, 141, 121, face
151, 163, 163, 34, face
135, 110, 125, 52, face
147, 116, 125, 28, face
116, 129, 141, 0, face
141, 154, 166, 5, face
113, 138, 166, 23, face
110, 97, 147, 23, face
116, 91, 144, 34, face
103, 100, 132, 34, face
116, 107, 113, 133, face
129, 113, 129, 133, face
132, 97, 122, 69, face
135, 81, 116, 86, face
119, 94, 122, 57, face
151, 91, 135, 63, face
141, 91, 122, 98, face
144, 94, 125, 81, face
129, 97, 116, 92, face
157, 91, 135, 92, face
75, 185, 154, 75, face
75, 188, 138, 46, face
75, 182, 144, 34, face
88, 185, 144, 69, face
91, 179, 138, 98, face
97, 173, 138, 81, face
129, 173, 192, 121, face
122, 157, 151, 98, face
107, 163, 188, 144, face
119, 170, 157, 133, face
81, 201, 141, 220, face
107, 188, 157, 133, face
135, 198, 185, 197, face
113, 201, 170, 144, face
116, 192, 170, 133, face
138, 182, 185, 185, face
116, 188, 166, 121, face
129, 182, 151, 144, face
125, 188, 176, 173, face
122, 176, 154, 92, face
122, 188, 147, 133, face
125, 192, 154, 185, face
113, 188, 166, 162, face
163, 170, 163, 86, face
160, 160, 195, 173, face
151, 157, 154, 150, face
154, 179, 170, 208, face
100, 147, 135, 133, face
119, 132, 132, 144, face
110, 138, 125, 86, face
122, 154, 138, 121, face
132, 141, 141, 144, face
135, 147, 97, 133, face
