feature-1 ,feature-2 ,feature-3 ,feature-4 ,feature-5 ,feature-6 ,class 
1.00000000, 0.00000000, 0.00000000, 133.15086140, 1.31169276, 1620.22177892, class-0
1.00000000, 0.00000000, 0.00000000, 131.17386140, 1.31903101, 1568.97843469, class-0
1.00000000, 0.00000000, 0.00000000, 127.26286140, 1.32963668, 1647.72023493, class-0
1.00000000, 0.00000000, 0.00000000, 138.44286140, 1.37990560, 1918.75047185, class-0
1.00000000, 0.00000000, 0.00000000, 139.54286140, 1.37466149, 1871.05593439, class-0
1.00000000, 0.00000000, 0.00000000, 128.68486140, 1.31939425, 1624.01155591, class-0
1.00000000, 0.00000000, 0.00000000, 141.07286140, 1.33621620, 2180.62914883, class-0
1.00000000, 0.00000000, 0.00000000, 131.86886140, 1.29906355, 1677.24740162, class-0
1.00000000, 0.00000000, 0.00000000, 127.12986140, 1.27032101, 1739.28312447, class-0
1.00000000, 0.00000000, 0.00000000, 127.75886140, 1.36218810, 1549.72096683, class-0
1.00000000, 0.00000000, 0.00000000, 127.92386140, 1.32746906, 1560.58174693, class-0
1.00000000, 0.00000000, 0.00000000, 132.42286140, 1.23697413, 1655.20500139, class-0
1.00000000, 0.00000000, 0.00000000, 136.11086140, 1.27212170, 1819.02008544, class-0
1.00000000, 0.00000000, 0.00000000, 134.25886140, 1.27744906, 1655.18687555, class-0
1.00000000, 0.00000000, 0.00000000, 131.70286140, 1.33715462, 1855.10493034, class-0
1.00000000, 0.00000000, 0.00000000, 130.32286140, 1.25801767, 1679.91193027, class-0
1.00000000, 0.00000000, 0.00000000, 129.81786140, 1.29636731, 1791.83553416, class-0
1.00000000, 0.00000000, 0.00000000, 123.34286140, 1.34322210, 1700.90002589, class-0
1.00000000, 0.00000000, 0.00000000, 129.16486140, 1.23461166, 1630.91695037, class-0
1.00000000, 0.00000000, 0.00000000, 130.15686140, 1.28770643, 1668.60099491, class-0
1.00000000, 0.00000000, 0.00000000, 130.69486140, 1.34355699, 1685.05622222, class-0
1.00000000, 0.00000000, 0.00000000, 127.94886140, 1.31795585, 1595.63213875, class-0
1.00000000, 0.00000000, 0.00000000, 128.91686140, 1.21901707, 1648.69601482, class-0
1.00000000, 0.00000000, 0.00000000, 134.82086140, 1.27699841, 1897.19666116, class-0
1.00000000, 0.00000000, 0.00000000, 125.13686140, 1.29854830, 1622.16847509, class-0
1.00000000, 0.00000000, 0.00000000, 124.38486140, 1.36477753, 1788.18041959, class-0
1.00000000, 0.00000000, 0.00000000, 124.13686140, 1.26361630, 1560.03417439, class-0
1.00000000, 0.00000000, 0.00000000, 127.76686140, 1.23262291, 1604.78016155, class-0
1.00000000, 0.00000000, 0.00000000, 128.85886140, 1.27018625, 1632.64154520, class-0
1.00000000, 0.00000000, 0.00000000, 133.30686140, 1.30765993, 1829.52974130, class-0
1.00000000, 0.00000000, 0.00000000, 127.94886140, 1.32414970, 1652.67322377, class-0
1.00000000, 0.00000000, 0.00000000, 127.65086140, 1.26996220, 1653.76856845, class-0
1.00000000, 0.00000000, 0.00000000, 130.15686140, 1.42810916, 1849.04745260, class-0
1.00000000, 0.00000000, 0.00000000, 133.01886140, 1.29469852, 1813.31245177, class-0
1.00000000, 0.00000000, 0.00000000, 125.31086140, 1.28310706, 1573.40462640, class-0
1.00000000, 0.00000000, 0.00000000, 130.95886140, 1.34896079, 1755.42212782, class-0
1.00000000, 0.00000000, 0.00000000, 124.99686140, 1.21806978, 1692.16793702, class-0
1.00000000, 0.00000000, 0.00000000, 134.01886140, 1.34507793, 1871.81312587, class-0
1.00000000, 0.00000000, 0.00000000, 128.66786140, 1.27219284, 1640.83042619, class-0
1.00000000, 0.00000000, 0.00000000, 132.67886140, 1.32660085, 1617.68322076, class-0
1.00000000, 0.00000000, 0.00000000, 130.23086140, 1.31710131, 1669.67378929, class-0
1.00000000, 0.00000000, 0.00000000, 124.42586140, 1.27657056, 1701.55858520, class-0
1.00000000, 0.00000000, 0.00000000, 131.80286140, 1.30882969, 1766.95970468, class-0
1.00000000, 0.00000000, 0.00000000, 130.57886140, 1.21708303, 1620.64338372, class-0
1.00000000, 0.00000000, 0.00000000, 125.60086140, 1.16434637, 1497.75330166, class-0
1.00000000, 0.00000000, 0.00000000, 134.93686140, 1.26462445, 1611.20856513, class-0
1.00000000, 0.00000000, 0.00000000, 126.95686140, 1.27581627, 1608.74060948, class-0
1.00000000, 0.00000000, 0.00000000, 136.39286140, 1.38656855, 1885.09958490, class-0
1.00000000, 0.00000000, 0.00000000, 125.18686140, 1.19658827, 1607.21226749, class-0
1.00000000, 0.00000000, 0.00000000, 125.07086140, 1.27395336, 1558.65307416, class-0
1.00000000, 0.00000000, 0.00000000, 134.01086140, 1.27004236, 1758.96875150, class-0
1.00000000, 0.00000000, 0.00000000, 131.55486140, 1.29439272, 1768.84941731, class-0
1.00000000, 0.00000000, 0.00000000, 133.46486140, 1.29672601, 1568.88156182, class-0
1.00000000, 0.00000000, 0.00000000, 123.23686140, 1.36567763, 2097.18858445, class-0
1.00000000, 0.00000000, 0.00000000, 127.07286140, 1.18246997, 1636.62870465, class-0
1.00000000, 0.00000000, 0.00000000, 131.93486140, 1.25178142, 1555.87773847, class-0
1.00000000, 0.00000000, 0.00000000, 129.16486140, 1.26397632, 1537.42377086, class-0
1.00000000, 0.00000000, 0.00000000, 132.40686140, 1.29027876, 1694.65938515, class-0
1.00000000, 0.00000000, 0.00000000, 125.44286140, 1.29821497, 1591.47252937, class-0
1.00000000, 0.00000000, 0.00000000, 129.09886140, 1.27645432, 1664.23939077, class-0
1.00000000, 0.00000000, 0.00000000, 131.48786140, 1.36723077, 1914.10705382, class-0
1.00000000, 0.00000000, 0.00000000, 132.59686140, 1.31671428, 1694.23106131, class-0
1.00000000, 0.00000000, 0.00000000, 132.61286140, 1.27416914, 1740.20785429, class-0
1.00000000, 0.00000000, 0.00000000, 134.82086140, 1.36792542, 1872.54454929, class-0
1.00000000, 0.00000000, 0.00000000, 127.81686140, 1.46108193, 1782.53740446, class-0
1.00000000, 0.00000000, 0.00000000, 121.57286140, 1.24812543, 1530.15115571, class-0
1.00000000, 0.00000000, 0.00000000, 131.25686140, 1.26114043, 1719.12560259, class-0
1.00000000, 0.00000000, 0.00000000, 122.30086140, 1.25893879, 1669.41773487, class-0
1.00000000, 0.00000000, 0.00000000, 131.53686140, 1.35581875, 1831.15225005, class-0
1.00000000, 0.00000000, 0.00000000, 129.40386140, 1.31042281, 1731.03157899, class-0
1.00000000, 0.00000000, 0.00000000, 135.43286140, 1.26648026, 1795.47144615, class-0
1.00000000, 0.00000000, 0.00000000, 128.27086140, 1.23604041, 1795.01357080, class-0
1.00000000, 0.00000000, 0.00000000, 133.58886140, 1.38344967, 1666.20549321, class-0
1.00000000, 0.00000000, 0.00000000, 139.97286140, 1.31327203, 1997.27362228, class-0
1.00000000, 0.00000000, 0.00000000, 131.25686140, 1.23698114, 1638.09003059, class-0
1.00000000, 0.00000000, 0.00000000, 134.26686140, 1.27103474, 1794.42567007, class-0
1.00000000, 0.00000000, 0.00000000, 130.95886140, 1.27922499, 1750.99078626, class-0
1.00000000, 0.00000000, 0.00000000, 136.97886140, 1.30855017, 1963.71145831, class-0
1.00000000, 0.00000000, 0.00000000, 130.08986140, 1.33291948, 1734.78387127, class-0
1.00000000, 0.00000000, 0.00000000, 126.39486140, 1.26536039, 1803.28720088, class-0
1.00000000, 0.00000000, 0.00000000, 127.43686140, 1.19367608, 1628.76427815, class-0
1.00000000, 0.00000000, 0.00000000, 128.80086140, 1.28299999, 1566.94716914, class-0
0.00000000, 2.00000000, 0.00000000, 218.30086140, 2.22940129, 9370.67073550, class-0
1.00000000, 0.00000000, 0.00000000, 126.99886140, 1.19220522, 1629.07063529, class-0
1.00000000, 0.00000000, 0.00000000, 129.89186140, 1.28666824, 1782.85422809, class-0
1.00000000, 0.00000000, 0.00000000, 135.73886140, 1.27993452, 1949.63177272, class-0
1.00000000, 0.00000000, 0.00000000, 121.65686140, 1.31800431, 1720.43399409, class-0
1.00000000, 0.00000000, 0.00000000, 129.04886140, 1.33914322, 1605.03520800, class-0
1.00000000, 0.00000000, 0.00000000, 137.82286140, 1.29310001, 1945.00374894, class-0
1.00000000, 0.00000000, 0.00000000, 127.87386140, 1.23006376, 1640.15550661, class-0
1.00000000, 0.00000000, 0.00000000, 122.90486140, 1.20199446, 1439.53493978, class-0
1.00000000, 0.00000000, 0.00000000, 126.78286140, 1.25742287, 1604.49994477, class-0
1.00000000, 0.00000000, 0.00000000, 125.17086140, 1.18094467, 1541.39783124, class-0
